Periodo,Caña_de_Azúcar,Café,Algodón_Rama,Uva,Aceituna,Cacao,Té,Palma_Aceitera,Achiote,Orégano,Arroz_Cáscara,Maíz_Amarillo_Duro,Maíz_Amilaceo,Trigo,Cebada_Grano,Quinua,Avena_Grano,Maíz_Morado,Papa,Yuca,Camote,Oca,Olluco,Maca,Mashua_o_Izaño,Alfalfa,Plátano,Limón,Naranja,Manzana,Mango,Piña,Papaya,Mandarina,Palta,Melocotón,Tuna,Sandía,Tangelo,Chirimoya,Lúcuma,Pacae,Melon,Marácuya,Fresa,Granadilla,Pecana,Espárrago,Maíz_Choclo,Tomate,Ajo,Cebolla,Cebolla China,Zapallo,Pimiento_Morrón,Piquillo,Zanahoria,Páprika,Alcachofa,Rocoto,Ají,Frijol_Grano_Seco,Arveja_Grano_Verde,Arveja_Grano_Seco,Haba_Grano_Verde,Haba_Grano_Seco,Pallar_Grano_Seco,Frijol_Caupi_Grano_Seco,Lenteja_Grano_Seco,Chocho_o_tarhui,Garbanzo_Grano_Seco,Ave,Ovino,Porcino,Vacuno,Caprino,Alpaca,Llama,Huevos,Leche_fresca,Fibra_Alpaca,Fibra_Llama,Lana
201910,1050.1,3.2,4.2,50.5,0,8.9,0.1,101,0.9,1.7,134.8,90.1,1.4,5.5,1,1,0,1.2,258.8,115.3,30.7,0.2,1.2,0,0,433.8,182.5,17.6,35,8.9,12.2,46.2,14.3,25.3,17.8,4.2,0.4,13.5,2.3,0.5,0.1,1.1,3.1,4.1,4.1,4.6,0,32.1,37.8,25.5,11.3,60.2,2.4,16.8,10.5,4.1,16.6,2.6,24,3.9,1.8,4.6,6.3,5,0.9,0,2.1,4.1,0,2.2,0.2,185.4,6.5,18.9,30.5,1,1.9,0.6,41.1,168.2,0.2,0,0
201911,1007.1,0.8,1.2,98.4,0,9.4,0.1,94.5,0.3,3.4,157.5,81.6,1.8,3.8,0.2,1.1,0,1.3,263.8,119.6,27.3,0.1,1.6,0,0,451.2,191.2,21.9,32.3,9.4,27.4,53.9,15.2,30,18.5,2.5,0.6,19.2,2.2,0.1,0.1,1.3,1.9,5.5,4,4.4,0,34.1,24.3,21,18,59.9,2.2,11.6,7.4,9.4,13.3,2.1,23.5,4.4,1.4,3.7,6,1.3,1.3,0,3.5,5.8,0,1.2,0.3,176.7,6.4,18.8,30.4,1,1.9,0.6,41.8,166.5,1.7,0.3,0.6
201912,909.5,1.9,3.1,141.6,0,9.6,0.1,85.9,0.2,0.8,286.1,112.8,0.8,2.6,0,0.8,0,1.3,262.9,122.4,22,0,1.9,0,0,531.1,192.5,22.1,29.3,8.5,111.2,64.6,15.1,17.3,17.6,2.2,0.8,20.5,2.9,0.4,0.3,1.5,1.6,9,4,4.2,0,32.6,17.4,25.2,23.1,67.2,2.1,11.5,1.3,6.1,13.5,3.2,14.1,5,2.5,2,7.2,0.2,2.6,0,0.9,1.4,0,0,0.1,187.4,6.5,21.9,31.5,1.1,1.8,0.7,42.1,169.8,0.8,0.1,0.4
202001,839.4,0.5,2.2,145.1,0,9.3,0.2,82.1,0.1,0.6,214.7,107.8,0.1,0,0,0.9,0,2,258.6,104.1,20.5,0,1.4,0,0,504.3,198,25,26,14.1,193,53.3,14.2,6.4,18,2.8,6.8,13.6,3,0.9,0.9,4.3,1.9,8.6,1.8,3.2,0,27.3,25.7,33.4,3.5,56.9,2.4,15.4,1.7,2.5,15.3,4.6,4.2,3.4,4.9,2.4,11.3,0,5.2,0,0.1,0.3,0,0,0,175.7,5.9,19.2,28.8,0.9,1.8,0.6,40.9,177.5,0.3,0,0.7
202002,752.6,7.8,1.9,98.5,0,10.6,0.2,76.3,0.1,0.3,193.8,121.2,0.7,0.1,0.1,2.6,0,2,320.6,100.8,19.2,0.1,3.1,0,0.1,610.5,195.8,29.1,33.1,17.5,122.6,51.2,16.1,14.1,24.6,5.4,16.3,14.3,5.3,1.8,1.8,7.8,2.7,6.2,0.6,4.3,0,36.3,41.5,17.8,2.1,36.8,3.2,20,5.6,2.3,15,3.6,3.5,4,4.1,1.7,15.4,0,9.8,0,0.1,0.3,0,0,0,158.1,6.3,18.6,30.5,1,2.2,0.7,41.2,174.7,0.6,0.1,2.6
202003,637.3,26,2.3,68.5,10.2,11.3,0.2,76.3,0.1,0.4,307.4,71.4,2,0.2,0.2,7.4,0,4.4,555.4,102.7,17.6,0.7,10.1,0,0.3,866.1,192.1,32.2,36.4,13.1,30.6,49.6,16,31.7,51.9,6.9,22.4,12.5,6.9,3.2,2.6,7.8,1.5,7.4,0.4,4.5,0,32.9,48.9,17.7,1.5,28.2,2.6,21.2,2.3,0.8,17,2.7,6.8,2.7,4.5,2.6,16.2,0.2,14.6,0.2,0,0.6,0,0,0,177,6.5,18.2,29.2,1,2.4,0.7,41.1,187.7,0.6,0.1,1.9
202004,719.3,61,4.8,17.1,56.7,14.6,0.2,77.4,0,2.7,364.2,65.9,26.7,1.2,13.4,35.9,4.6,4.3,1164.5,100.5,22.2,24.8,33,0.2,8.7,1008.8,188.4,31.8,40.7,14.4,8.1,45.6,14.9,54.6,85.6,3.2,10,7.8,7,4.3,2.9,6.1,1.2,7.3,0.2,4.8,0,32.2,77.8,10.9,2.1,43.1,2.1,19.4,6.9,0.2,20.2,2.5,2.1,3.1,4.3,4.2,13.5,1.8,13,12.6,0.1,0.6,0,0.1,0,181.1,7.1,18,30.1,1,2.8,0.8,41,190.2,0.1,0,0.2
202005,915.4,84.4,3.1,9.8,75.2,18.1,0.1,79.7,0,2.2,627.3,91.8,101.3,6.7,31.1,27.8,8.1,2.9,1178.8,117.9,24,43.7,67.5,0.7,21.4,831.1,191.5,35.2,58.4,14.6,4.1,46.3,15.8,73.9,172.3,2.4,2.6,6.5,6.3,4.1,1.1,3.6,0.9,8,0.2,4.5,1.7,28.2,66.8,10.9,3.5,43.2,2.5,19,5,0.2,17.5,3.5,1.9,2.9,3.4,12.5,12.3,7,9.8,19.5,0,1.1,0.1,1.6,0,178.3,7.4,17.7,30.9,1.1,2.7,0.8,41.3,191.7,0.1,0,0.5
202006,927.5,89.8,1.7,5.7,21.7,19.6,0.1,70.5,0.2,0.5,622.9,120.2,98.9,42.8,53.9,13.6,7,2.5,625.1,109,22.2,21.2,44.2,3.2,11,556.6,186.6,27.1,66,12.2,1.3,42.6,15.1,80.2,138,2.7,1.2,4.3,8.8,3.1,1.5,1.7,0.7,6.8,0.8,4.6,2.4,30,17.7,7.9,4.3,40.9,1.8,9,1.3,0.9,12.8,4.1,1.7,3.3,4,16.8,13.4,11.8,5,27.9,0,1.4,0.4,3.5,0,177.4,7.7,18.1,31,1.1,2.7,0.8,41.1,184.5,0,0,0.2
202007,834.3,58.6,0.5,11.5,10.2,16.2,0.1,67,0.9,0.3,250.7,116.4,65.1,67.4,65.1,4.5,3.6,1,204.4,106.6,21.8,6.4,14,5.3,1.2,427.6,187.3,15.4,82.6,9.3,1.3,43.3,15.4,91.7,72.5,3,0.7,6.3,25.8,1.9,0.9,0.8,2,7.7,0.6,4.1,1,25.8,11.1,9.2,3.2,52.3,2.2,11.4,1.8,1.6,16.1,3.2,2.3,3.7,4.6,16.2,12,10.9,4.4,17,0,0.8,1.3,2.7,0,182.9,7.1,19.7,31.5,1.1,2.7,0.8,41.2,177.7,0,0,0.2
202008,853.1,29.1,0,7.5,0.2,12.7,0.1,73.3,2.3,0.3,143.7,94.6,19.5,45.2,32.6,1.7,0,1.4,145.3,113.1,16.1,1,2.7,1,0,439.8,182.3,14.8,66.6,8.9,1.1,38.5,14.5,57.9,23.2,3.2,0.4,7.6,11.3,1.3,0.1,0.2,1.5,5.7,1.7,4.2,0,25.9,20.3,12.6,5.4,81,2.3,12.1,1.6,2.8,21.3,4.1,4.3,3.8,3.2,14.2,11.3,8,2,4.9,0.2,0.5,0.7,1.4,0,176,7.2,18.9,30.2,1.1,2.4,0.7,41.2,174.2,0,0,0.1
202009,945.6,10.5,1.1,10.5,0.1,10.6,0.1,80.3,1.8,0.5,143.1,64.4,4.9,10.7,6,1.9,0,0.8,203.5,109.3,16.8,0,0.8,0,0,445.2,188.5,18.9,43.1,9.7,6.5,51.5,15.5,46.4,25.4,3.3,0.3,6.8,5.9,0.7,0.1,0.7,1.7,6.9,3.1,4.8,0,30.1,33.8,12.1,8.3,58.7,1.7,16.1,8,5.1,17.4,3.3,9.4,3.6,3.3,7.3,8.4,4.2,0.9,0.4,0.5,2.7,0.1,2.5,0.1,175,6.7,18.8,29.6,1,2.1,0.7,41.4,167.9,0,0,0.2
202010,1064.1,3.1,0.6,49.6,0,9.8,0.1,80.3,1.1,1.8,153.6,70.5,0.5,4.4,0.3,1.3,0,1,243.8,120.8,22.4,0,0.5,0,0,450,194.1,21,35.5,8.7,11.9,46.8,16.4,26.5,16.7,3.1,0.3,10.2,2.3,0.4,0.1,2.3,2.6,6.6,4.8,5.1,0,31,29,15.5,10.9,45.7,1.6,11.3,11.6,6.2,17.1,2.9,19.2,3.2,2.4,5.6,7.1,3.1,1.2,0,5,3.9,0,3.2,0.1,177.7,6.4,18.4,28.9,1,1.9,0.6,41.9,169.2,0.2,0,0
202011,957.6,0.6,0.7,113.6,0,9.7,0.1,77,0.3,2.7,154.2,109.6,0.2,8.3,0.1,1.3,0,1.4,264,125,27.2,0,1.1,0,0,445.3,200.2,22.5,31.3,8.7,24.7,55.7,15.2,22.7,15,1.9,0.4,15.9,2.2,0.3,0.1,2.3,1.9,6.7,4.2,5.2,0,33.9,16,32.8,29.4,63.6,2,10.5,7.2,9.8,15.9,4.3,15.8,3,1.8,2.6,6,1.6,1.9,0,3.1,3.4,0,0.4,0.2,169,6.3,18.8,29.5,1,1.9,0.6,42.5,168.4,1.7,0.3,0.5
202012,1022.7,0.3,0.4,198.2,0,9.1,0.1,80.3,0.1,1.2,250,92.6,0.3,0.7,0,1.3,0,0.9,285.3,116.3,13.8,0,1.7,0,0,519.7,200.4,30.2,33.7,8.2,89.2,68.4,16.8,19.3,17.7,2.6,0.8,9.8,3.4,0.2,0.2,1.7,1.2,8,3.2,5.2,0,30.4,16,23,16.5,53.1,1.7,12.2,0.9,5.2,12.5,3.6,10.9,3.6,2.7,1.6,5.9,0.1,3.6,0,0.3,0.8,0,0,0.1,179.6,6.4,21.9,30.7,1.1,1.8,0.7,42.7,174.3,0.8,0.1,0.4
202101,768.3,0.8,0.7,186.7,0,8.2,0.2,79.6,0.1,0.2,226.1,92.2,0.2,0,0.1,1.8,0,2.4,321,101.3,18.5,0,1.4,0,0,509.1,194.3,30.3,24.9,14.1,149.3,54.2,15.6,5.8,19.1,3.6,5.3,14.4,3.9,0.8,1,5.3,1.8,7.5,0.9,3.6,0,25.6,31.9,39.3,4,59.8,1.8,15.4,1.9,4,15.3,3.7,5.7,4,6.4,2.4,10.6,0,7,0,0.1,0.2,0,0,0,172.6,5.7,19.3,28.9,1,1.9,0.6,41.7,182.1,0.3,0,0.6
