Periodo,Caña_de_Azúcar,Café,Algodón_Rama,Uva,Aceituna,Cacao,Té,Palma_Aceitera,Achiote,Orégano,Arroz_Cáscara,Maíz_Amarillo_Duro,Maíz_Amilaceo,Trigo,Cebada_Grano,Quinua,Avena_Grano,Maíz_Morado,Papa,Yuca,Camote,Oca,Olluco,Maca,Mashua_o_Izaño,Alfalfa,Plátano,Limón,Naranja,Manzana,Mango,Piña,Papaya,Mandarina,Palta,Melocotón,Tuna,Sandía,Tangelo,Chirimoya,Lúcuma,Pacae,Melon,Marácuya,Fresa,Granadilla,Pecana,Espárrago,Maíz_Choclo,Tomate,Ajo,Cebolla,Cebolla China,Zapallo,Pimiento_Morrón,Piquillo,Zanahoria,Páprika,Alcachofa,Rocoto,Ají,Frijol_Grano_Seco,Arveja_Grano_Verde,Arveja_Grano_Seco,Haba_Grano_Verde,Haba_Grano_Seco,Pallar_Grano_Seco,Frijol_Caupi_Grano_Seco,Lenteja_Grano_Seco,Chocho_o_tarhui,Garbanzo_Grano_Seco,Ave,Ovino,Porcino,Vacuno,Caprino,Alpaca,Llama,Huevos,Leche_fresca,Fibra_Alpaca,Fibra_Llama,Lana
201508,986.8,15.8,1.9,12.5,2,8,0.1,56.6,1.7,0.4,107.3,127.2,18.3,55.1,36.6,3.2,0.2,1.8,144.7,103.1,24.7,1.4,3.3,18,0.3,444.9,165.8,16.7,48.5,10,0.7,25.7,11.9,30.7,26.7,4.8,1.3,4,6.8,0.6,0.1,0.2,1.5,3.9,2.3,4.3,0,26.9,26.6,17.2,7.1,89.9,1.8,30.3,0.6,0.8,17,0.9,7.6,1.6,2.5,11.4,11.5,10.1,2.9,4.9,1.2,0.7,0.8,1.9,0,145.4,7.5,15.9,33.1,1.3,2.4,0.8,32.3,156.2,0,0,0.1
201509,951.4,6.4,0.2,18.9,1.5,7.6,0.1,63.1,1.8,0.6,131,128.7,9.1,14.8,6.6,2.8,0,1.9,185.6,99.7,29.6,0.6,1.1,4.9,0.1,458,174.2,15.8,31.5,9.7,1.8,30.6,12.1,24.3,13.2,5.6,1.2,7.2,3.9,0.4,0.1,0.8,1.7,3.6,4.2,4,0,32.5,27.2,15.1,9.7,87.6,1.7,16.8,5.7,2.3,13.8,1.3,14.4,1.4,2.3,8.6,10,5.5,1.7,1.2,0.7,3,0,3.1,1.2,143.1,6.7,15.4,32,1.2,2.1,0.7,32.4,148,0,0,0.1
201510,997.3,1.6,0.1,88,0,5.5,0.1,62.4,1.3,1.6,138.4,134,1.5,4.5,0.4,2.5,0,1.4,240.2,103,26.7,0,1,0,0,466,169.8,15.8,27.2,10.1,12.7,34.8,12,23.1,10.9,5,1.1,12.6,3,0.1,0.1,1,2.6,3.6,3.9,3.9,0,37.1,18.7,12,9.6,78.5,1.7,17.1,16.2,0,14.9,2.5,20.3,1.4,2.4,5.4,8.2,5.3,1.5,0.2,1.6,3.7,0,1.6,0.2,149.4,6.3,15.7,31.1,1.1,1.9,0.7,32.3,152.2,0.1,0,0.1
201511,1003.3,0.2,0.1,129.1,0,5.5,0.2,68.3,0.1,2.3,113.3,134.2,1.9,6.3,0.2,2.9,0,1,235.8,112.4,36.7,0,0.3,0,0,483.5,165.7,18.3,29,9.3,24,44.8,12.8,23,11.5,3.1,2.8,12.1,1.3,0.1,0.1,1.1,2.7,3.9,4.4,3.8,0,42.4,11.1,36.2,28.1,110,1.6,11.3,8.5,0,15.7,0.7,19,1.6,2,3.6,7.9,2.5,2.4,0,3.7,3.4,0,0.4,0.4,147.6,6.4,15.4,31.1,1.1,1.9,0.6,32.3,150.6,1.8,0.3,0.9
201512,975,0.2,0.2,90.7,0,6.5,0.3,63.4,0,1.4,257.3,111.6,1.2,5.7,0.2,1.9,0,1.4,222.7,111.1,24.2,0,2.6,0,0,545.8,177,24.5,26,8.4,106.5,46.7,13.1,10.1,14.1,2.1,7.3,10.7,1.5,0.1,0.2,1.2,2.5,3.5,4.8,4.2,0,34.7,22,22.6,12.9,74.4,1.4,10.1,6.2,0,15.5,1.5,8.8,1.8,2.5,2.6,6.6,0.2,3.2,0,1.7,2,0,0.1,0.5,154.5,6.5,18.1,32.3,1.2,1.7,0.7,32.3,152.5,0.8,0.1,0.8
201601,923.5,0.4,1.5,74.6,0,5.4,0.9,59,0,0.7,222.3,97.4,0.2,0,0,2,0,1.7,193.4,91.3,21.3,0,2.9,0,0,519.9,178.1,21.1,27.8,13.6,163.2,41,12.9,5.8,16.1,4.1,12.1,10.7,2.5,0.8,1.9,6,2.2,5.7,2.2,2.6,0,28.9,32.6,25.2,2.1,63.8,1.4,18.7,3.1,6.6,17.6,7,6.4,3.7,4,2.3,7.7,0,4.2,0,0.2,0.7,0,0,0,146.1,6.1,15.5,27.9,1.1,1.9,0.7,32.5,155.8,0.2,0,0.6
201602,725.6,4.8,2.5,63.2,0,5.8,0.4,55.6,0,0.6,176.2,119.3,1.1,0,0,1.5,0,2.7,262.8,92.8,18.4,0.1,7.7,0,0,600.8,176.5,26.7,26.4,19.1,40.3,43.4,14.6,11.6,15.3,8.4,20,12.1,4.1,1.4,3.6,11.2,1.5,6.2,2.4,3.7,0,29.1,41.7,25.2,1.7,49.7,1.5,19.3,1.6,1.6,13.6,2.8,5.3,3.3,3.7,2.1,12.6,0,8.3,0,0.1,0.6,0,0,0,136,6.5,15.1,28.9,1.2,2.2,0.7,32.7,160.8,0.7,0.1,2.9
201603,541.6,14.6,6.1,79.1,4.2,8,0.4,57.3,0,0.6,251,90.7,1.5,0.2,0.1,2.5,0,3.3,403.3,90.5,21,1.1,12.1,0,0.2,739.8,172.7,29.1,31.6,17.4,10.4,41,15.1,23.6,35.4,7.6,22.8,8.6,6.2,3.9,4.1,7.3,1.8,5.9,1.7,4.3,0,32.5,54.6,16.2,3.1,39.6,1.5,20,1,0.9,16.1,3.4,3.9,3.4,5.3,1.7,16.1,0.2,11.1,0.4,0.2,0.6,0,0,0,140.7,6.8,15.8,30.4,1.2,2.3,0.7,33,173.4,0.6,0.1,2.8
201604,540.7,50.9,11,32.5,19.6,10,0.4,56.3,0,2.9,369.6,80.8,23.7,0.7,12.5,28,3.7,2.5,885.9,100.6,19.8,22.5,30.1,0.1,5,831.2,170.7,29.5,41.3,18.7,4.5,44.9,16.1,42.7,54.8,3.4,14.5,3.8,8.2,6.1,2.4,5.4,1.4,6,0.9,5.5,0,29.7,65.4,13,3.9,34.7,1.4,20.2,1.3,0.1,14,1.8,2.4,3.3,3.7,4.2,13.9,1.2,13.5,9.4,0,2.5,0,0.1,0,145,7.7,16.1,32.9,1.2,2.8,0.9,33.1,174.8,0.1,0,0.4
201605,573.1,67.1,14.8,10.8,19.9,14.2,0.3,53.6,0,1.9,483.5,71.9,90.8,9.5,35.3,22.5,5.4,2.9,984.6,108.2,18.7,38.3,67.6,0.6,16,683.8,166.7,26.3,58.3,17.4,0.9,35.8,15.2,59.4,89.7,2,4.8,3.9,7.9,5.5,1,2.2,1.7,5.1,0.7,5.3,0.4,31.3,44.3,14.1,2.9,46.9,2,12.9,1.4,0.2,14.4,2.2,2.4,3.3,2.6,13.6,11,8.8,9.1,21.7,0,7.7,0.1,1.6,0,156.4,7.8,16.7,33.9,1.3,2.7,0.9,33.2,174.5,0.1,0,0.4
201606,822.4,70.4,7,5.7,5.6,15,0.1,50.9,0.1,1.1,566.3,138.2,89,41,55.7,13.5,8.1,0.7,540.7,109.3,16.7,23.9,47.9,18.6,10.6,514.6,164.8,21.3,65.5,14.2,0.2,30.7,14.5,70.1,108.6,2.1,2.1,2.7,11.2,3.3,1,1.2,1.6,4.8,0.9,4.4,1.4,28.5,25.8,14,4.2,39.6,1.7,11.6,1.1,0.8,12.5,3.7,2.5,3.3,5,16,12.6,8.2,6.1,23.4,0,1.8,0.4,3.7,0,159.5,8,16.6,33.3,1.3,2.7,0.9,33.5,167.9,0,0,0.2
201607,994.3,42.3,0.4,6.8,2.7,12.1,0.1,47.7,0.9,0.8,278.8,139.3,44.4,66.1,64.5,4.6,3.7,0.7,223.2,88.6,19.4,5.2,10.7,26.5,1.2,446.3,168.6,19,76.9,11.8,0.3,30.6,13.8,62.4,48,3.3,1,3,31,1.6,0.5,1,1.4,4.9,0.7,4.9,0.4,23.2,11.9,14,4.1,61.9,1.9,17,0.7,3.1,13.6,2.4,3.7,3.3,4.1,11.7,10.1,8,2.5,12.8,0.4,0.5,1,2.2,0,168.7,8.2,17.9,33.7,1.3,2.6,0.8,33.5,166.5,0,0,0.2
201608,957,20.5,0.8,14.1,3.2,9.3,0.1,60.9,1.8,0.8,100.4,127.6,15.4,50.4,29.4,1.9,0,1.3,154,91.7,23.6,1.2,3.2,8.4,0,458,164.9,20.7,48.9,9.4,0.4,27.7,13.9,34.7,32.3,4.4,1.4,3,21.1,0.8,0.1,0.4,1.4,4.7,1.6,4.5,0.1,30.3,26.7,18.9,5.5,114.9,2,22.2,0.7,1.1,15,1.5,8.5,3.5,2.3,12,9.7,10.5,2.2,3.4,2.1,0.6,0.6,1.9,0,166.2,7.5,16.7,31.5,1.3,2.4,0.7,33.7,164.8,0,0,0.1
201609,905.3,7.5,0.4,16.2,0.9,7.3,0.1,72.6,2.2,1,139.4,90.7,7.3,11.7,6.1,0.4,0,1.6,133.5,88.4,26.9,0.4,0.7,1.2,0,450.6,171.6,17.9,32,8.9,5.3,31.4,12.7,32.3,17.1,5.3,1.4,8.4,15.2,0.7,0.1,0.8,1.6,2.3,4,3.7,0,36.4,25.6,17,6.4,92.4,1.8,23.1,6.2,2.2,14.1,2,21.1,2.7,2,7.6,9.9,5.3,1.8,0.5,1.5,2.3,0,2.4,0.1,154.9,6.8,16.4,30.7,1.2,2.1,0.7,33.8,155,0,0,0.1
201610,963.8,2,0.4,105.7,0,6.8,0.1,79.5,1.1,1.1,149.4,104.3,0.7,4.9,0.8,0.5,0,1.4,264.2,102.3,22.8,0,0.2,0,0,456.5,175.8,20.5,27.9,9.7,13,36.7,13.3,27,11.8,4.9,1.1,11.7,2.1,0.4,0.1,0.9,2.8,3.2,3,3.6,0,38.4,27.9,13.1,9.6,51.8,2.1,19.8,7.3,4.1,15,1.4,25.1,2.8,1.9,4.2,6.2,5.3,1.6,0.1,2.2,3.4,0,1.8,0,156.3,6.5,16.5,29.5,1.1,2,0.6,33.9,154.5,0.1,0,0
201611,948.8,0.2,0.2,189.4,0,7.1,0.3,68.9,0.1,3.2,177.4,93,1.8,4.9,0.2,0.7,0,1,236.1,106.5,29.3,0,0.2,0,0,442.3,180.4,21.6,28.2,9.5,27.1,47.1,12.9,25.1,12.9,3,2.5,10.7,1.5,0.1,0.1,1,1.8,3.3,3.6,4.2,0,37.3,22.7,26.1,21.8,55.7,1.7,12.3,8.8,1.9,14.4,2.4,16.4,3,2.2,3,4.7,2.3,1.5,0,4.1,3,0,0.2,0.2,152,6.5,16.4,29.1,1.1,1.9,0.6,33.8,151.3,1.8,0.3,0.9
201612,936.5,0.2,0.2,91.9,0,6.9,0.3,73.9,0.1,1.7,251.5,79.2,1.5,1.7,0,1.1,0,1.4,232.6,110.8,31.9,0,1.5,0,0,492.9,183.2,16.7,26.1,8.5,114,51.1,14.4,9,13.3,2.5,4.4,7.1,1.7,0.1,0.2,1.2,2.1,3.8,4,4.1,0,32.8,19.5,36.1,13,54.5,1.8,9.8,19.9,1.4,12,3.1,11.2,3.6,2,2.6,5.7,0.3,2.4,0,2.3,0.5,0,0.1,0.1,164.4,6.6,19.4,31,1.2,1.8,0.7,34.3,154.8,0.9,0.1,0.8
201701,862.8,0.4,1.4,78.7,0,5.6,1.2,70.8,0,0.7,172.5,98.3,0.1,0,0,1.6,0,1.7,223.6,94.9,18.4,0,1.7,0,0,480.3,179.6,18.3,25.7,14,174.5,41.7,14.2,5.7,15.4,3.9,12.7,9.7,2.6,0.9,0.9,5.3,1.8,4.1,3.8,3.4,0,31.6,25.9,28.2,3.9,63.8,1.7,12.1,1,6.4,15.3,5.6,9.3,2.6,3,2.1,7.8,0,5.2,0,0,0.4,0,0,0,158.9,5.9,16.9,28.3,1.1,2,0.6,34.5,163.6,0.4,0,0.6
201702,611.9,4.6,2.3,65.5,0,7.1,0.1,61.3,0,0.8,133.1,99.5,0.7,0.1,0,1.1,0,2.8,274.7,94.9,18.6,0.1,6.8,0,0,573.2,169.9,19.5,26.9,18.3,61.7,42.8,15.2,11.1,16.7,7.5,20.2,14.5,4.3,1.5,3.1,12,2.9,6,2.4,4.2,0,30.9,33.8,21.1,2.1,45.1,1.1,16.4,1.2,0.8,15.9,1.6,7.8,3,6.4,2.1,11.8,0,7.5,0,0.1,0.4,0,0,0,141.5,6.3,16.4,28.8,1.1,2.2,0.7,34.6,160.6,0.7,0.1,2.5
201703,288.1,19,2.3,81.1,7.9,8.6,0.1,71.7,0,0.6,236.3,85.7,1.5,0.1,0.2,2.3,0,3,398.1,89.8,18.9,0.7,9.2,0,0.1,750,157.4,16.6,31.3,17,11.8,42.4,15.9,22.2,30.3,7.1,22.1,7.3,5.9,3.3,3.5,9.2,1.2,4.6,1,4.4,0,30.9,41.4,18.1,2.5,30,1.1,15.7,0.9,0.6,13.4,1.5,5.9,3.3,4,1.2,15.3,0.1,13.5,0.2,0.1,0.4,0,0,0,149.2,6.6,16.9,30.1,1,2.4,0.7,34.8,176.1,0.6,0.1,2
201704,454.3,58.3,4.5,38.6,44.1,11.4,0.1,62.8,0,3.2,247.3,48.7,19.7,0.7,11.3,25.8,2.9,3.3,865.8,89.6,23.1,19,30.4,0,4.5,865.8,158,19,43.5,18.5,2.9,40.2,16.2,44.9,54.2,4.5,16.8,5.7,8.2,5,2.9,6.9,0.9,5.2,0.5,5.7,0,30.4,61.4,13.2,3.2,41.3,1.4,19.2,1,0.8,13.7,2.1,4.8,3,5.4,3.6,16,0.8,16.1,8.5,0.1,2.1,0,0,0,152.7,7.6,17.2,32.5,1.1,2.9,0.9,34.6,178.1,0.1,0,0.5
201705,684.2,76.9,5,20.1,15.5,14.6,0.1,65.5,0,2.4,271.4,59.5,72.1,7.3,28.9,25.7,5.1,4.1,1003.6,98.9,17.9,39.5,62.2,0.5,14.5,740.2,158.5,18,60.6,15.8,1.3,39.7,16.2,68.6,96,2,5,2.6,7.3,5.4,1.2,2.4,1,5.2,0.1,5.6,0.6,30.9,57.7,14.4,3.7,44.7,1.6,12.8,1.3,0.8,13.9,3.1,5.3,3.1,2.7,11.3,12.5,6.1,11.3,16.1,0.1,6.7,0.1,1.2,0,149.8,7.9,17.8,33.4,1.2,2.8,0.9,34.5,183.3,0.1,0,0.5
201706,732.3,86.7,4.8,13.8,4.2,14.9,0.1,58.7,0.1,1,640.4,182.6,93.2,41.1,54.2,14.2,7.3,1.2,629.1,99,20,28.5,54.8,2.8,11.9,537.8,157.8,15.1,65.8,14,0.2,34.8,15.3,82.6,107.6,2.1,2,2.8,14.9,4.2,1.5,1.4,1.2,6.1,0.1,5.7,2,28.1,26.3,13.6,5,37.1,1.3,12.7,1,2.4,13.7,1.8,5.3,3.3,5.1,15.4,10.1,10.5,5.2,26.4,0.7,0.5,0.4,3.2,0,155.5,7.9,17.7,32.6,1.2,2.8,0.9,34.5,175.5,0,0,0.3
201707,908.9,54.8,0.6,15.9,4.4,13.2,0.1,61.6,0.6,0.7,492,157.1,62.2,64.3,62.4,5.2,4.8,0.8,256.6,91.2,24.4,8.6,17,6.5,3.7,419.3,154.9,8.5,71.6,10.6,0.3,33.2,14.6,60.6,52.1,2.6,1.6,3,33.8,2.5,0.4,0.6,1.1,5.2,0.7,5.2,0.3,24.1,14.3,13.7,6.4,74.06,1.4,24.5,0.4,0,15.7,3,5,3.2,4.2,13.7,11.6,11.1,3,17.3,0.9,0.2,1.2,2.7,0.1,173.1,8,18.8,32.9,1.2,2.8,0.8,34.5,170,0,0,0.3
201708,976.8,23.2,0.3,18,2.5,10.5,0.1,73.2,1.3,0.7,131.9,114.6,17.5,48.9,35.8,0.9,0.1,1,150.5,96.2,23.9,0.9,1.9,6.5,0.2,416.9,157.6,6.3,51.4,7.9,1.2,31.8,14.6,34.8,36.7,3.1,1.5,6.6,20.5,1.3,0.1,0.3,1.3,6,1.6,5,0,27.8,21,13.4,7.1,83.1,1.8,22.7,0.8,0,18.2,1.7,9.8,3.4,2.2,9.2,11.1,8.6,2.1,3.6,0.8,0.6,0.8,1.6,0.1,170.5,7.4,17.7,31.5,1.2,2.5,0.8,34.4,165.3,0,0,0.2
201709,1005,9.4,0,5.7,1.8,9.3,0.1,77.7,1.4,0.8,160,93.2,3.6,18.6,10.1,0.3,0,1.4,196.7,101.9,22.8,0.3,0.6,2.8,0,423.3,168.2,5.5,31.5,7.6,4.1,34.6,13.8,24.6,16.1,3.9,1.8,6.5,9,0.6,0.1,0.9,2.1,4.5,2.4,4.7,0,36,30.3,13.5,8.3,97.12,1.8,12.3,0.7,0.6,17.5,1.4,17.7,3.9,1.6,7.6,11.2,5.5,1.9,1.5,0.6,2.4,0.1,1.7,0.2,166.8,7,17.2,30,1.2,2.2,0.7,34.4,159.7,0,0,0.2
201710,1011.6,3.3,0.2,17.1,0,8.2,0.1,87.5,1.1,2.8,182,96.8,0.6,4.1,0.5,0.3,0,1.3,221.7,111.2,23.8,0,0.3,0,0,440.1,170.8,6.7,30.4,8.1,6.4,40.4,13.7,16,13.4,4.2,1.3,10.9,2.3,0.4,0.1,1,2.5,4.3,3.6,4.5,0.1,37.2,31.9,15.9,9.8,62.5,1.9,10.8,8.8,2.7,15.9,0.5,32.4,3.4,1.9,4.6,9.3,4.9,1.2,0.1,1,3.7,0,2.4,0.3,166.3,6.4,17.1,29.4,1.1,2,0.6,34.7,160.2,0.1,0,0
201711,1003,0.5,1.4,100.4,0,9,0.1,77.5,0.3,2.7,148.1,104.8,1.1,3.9,0.2,0.5,0,1,288.8,116.4,24.2,0,0.3,0,0,436.6,171.8,12.1,31.9,9.2,18.9,52.5,13.5,21,13.1,2.4,1.5,9.3,1.8,0.2,0.1,1.3,1.8,2.3,4.1,4.1,0,38.5,22.5,34.4,26.4,65.7,2,11.4,24.8,5.5,12.1,1,25.6,3.4,2,3.1,7.5,2.2,1.6,0,2.7,2.2,0,0.9,0.3,161.4,6.2,16.9,29.2,1.1,1.9,0.6,34.9,159,1.7,0.3,0.6
